Date,Close,RollingVolatility,Year,Date.y,RiskFreeRate,TotalDebt,EffectiveDebt,EstimatedAssetValue,EstimatedAssetVolatility,r,d2,ApproxDefaultProbability
2022-12-12,4.09,0.440284136309224,2022,2022-11-01,1.62,2640500000,528100000,528100004.09,3.4098884748310587e-9,0.016200000000000003,4750890.788458375,0
2022-12-12,4.09,0.440284136309224,2022,2022-12-01,1.23,2640500000,528100000,528100004.09,3.4098884748310587e-9,0.0123,3607158.367651497,0
2022-12-12,4.09,0.440284136309224,2022,2023-01-03,1.65,2640500000,528100000,528100004.09,3.4098884748310587e-9,0.0165,4838870.205443519,0
2022-12-12,4.09,0.440284136309224,2022,2023-02-01,1.19,2640500000,528100000,528100004.09,3.4098884748310587e-9,0.011899999999999999,3489852.478337971,0
2022-12-19,4.17,0.440912088577565,2022,2022-11-01,1.62,2640500000,528100000,528100004.17,3.481544016001529e-9,0.016200000000000003,4653110.178063232,0
2022-12-19,4.17,0.440912088577565,2022,2022-12-01,1.23,2640500000,528100000,528100004.17,3.481544016001529e-9,0.0123,3532917.5330542345,0
2022-12-19,4.17,0.440912088577565,2022,2023-01-03,1.65,2640500000,528100000,528100004.17,3.481544016001529e-9,0.0165,4739278.8430639235,0
2022-12-19,4.17,0.440912088577565,2022,2023-02-01,1.19,2640500000,528100000,528100004.17,3.481544016001529e-9,0.011899999999999999,3418025.9797199783,0
2022-12-26,4.09,0.43840444505545567,2022,2022-11-01,1.62,2640500000,528100000,528100004.09,3.3953307449155668e-9,0.016200000000000003,4771260.581610322,0
2022-12-26,4.09,0.43840444505545567,2022,2022-12-01,1.23,2640500000,528100000,528100004.09,3.3953307449155668e-9,0.0123,3622624.3240556894,0
2022-12-26,4.09,0.43840444505545567,2022,2023-01-03,1.65,2640500000,528100000,528100004.09,3.3953307449155668e-9,0.0165,4859617.216806832,0
2022-12-26,4.09,0.43840444505545567,2022,2023-02-01,1.19,2640500000,528100000,528100004.09,3.3953307449155668e-9,0.011899999999999999,3504815.4771270086,0
2023-01-02,4.57,0.4498780176612163,2023,2022-12-01,1.23,2232600000,446520000,446520004.57,4.604368269438762e-9,0.0123,2671378.463869744,0
2023-01-02,4.57,0.4498780176612163,2023,2023-01-03,1.65,2232600000,446520000,446520004.57,4.604368269438762e-9,0.0165,3583555.716909486,0
2023-01-02,4.57,0.4498780176612163,2023,2023-02-01,1.19,2232600000,446520000,446520004.57,4.604368269438762e-9,0.011899999999999999,2584504.4397707204,0
2023-01-02,4.57,0.4498780176612163,2023,2023-03-01,1.68,2232600000,446520000,446520004.57,4.604368269438762e-9,0.0168,3648711.234983753,0
2023-01-09,4.74,0.4507428148523822,2023,2022-12-01,1.23,2232600000,446520000,446520004.74,4.784826927618499e-9,0.0123,2570628.1128851105,0
2023-01-09,4.74,0.4507428148523822,2023,2023-01-03,1.65,2232600000,446520000,446520004.74,4.784826927618499e-9,0.0165,3448402.808508307,0
2023-01-09,4.74,0.4507428148523822,2023,2023-02-01,1.19,2232600000,446520000,446520004.74,4.784826927618499e-9,0.011899999999999999,2487030.5228257584,0
2023-01-09,4.74,0.4507428148523822,2023,2023-03-01,1.68,2232600000,446520000,446520004.74,4.784826927618499e-9,0.0168,3511101.0010528206,0
2023-01-16,4.72,0.450522289788151,2023,2022-12-01,1.23,2232600000,446520000,446520004.72,4.76230669471017e-9,0.0123,2582784.2176350546,0
2023-01-16,4.72,0.450522289788151,2023,2023-01-03,1.65,2232600000,446520000,446520004.72,4.76230669471017e-9,0.0165,3464709.7779239872,0
2023-01-16,4.72,0.450522289788151,2023,2023-02-01,1.19,2232600000,446520000,446520004.72,4.76230669471017e-9,0.011899999999999999,2498791.3071313463,0
2023-01-16,4.72,0.450522289788151,2023,2023-03-01,1.68,2232600000,446520000,446520004.72,4.76230669471017e-9,0.0168,3527704.4608017677,0
2023-01-23,4.79,0.4451554102878176,2023,2022-12-01,1.23,2232600000,446520000,446520004.79,4.7753614449625205e-9,0.0123,2575723.506830682,0
2023-01-23,4.79,0.4451554102878176,2023,2023-01-03,1.65,2232600000,446520000,446520004.79,4.7753614449625205e-9,0.0165,3455238.0835608975,0
2023-01-23,4.79,0.4451554102878176,2023,2023-02-01,1.19,2232600000,446520000,446520004.79,4.7753614449625205e-9,0.011899999999999999,2491960.213808757,0
2023-01-23,4.79,0.4451554102878176,2023,2023-03-01,1.68,2232600000,446520000,446520004.79,4.7753614449625205e-9,0.0168,3518060.553327341,0
2023-01-30,4.38,0.45257448084589247,2023,2022-12-01,1.23,2232600000,446520000,446520004.38,4.4393895159466155e-9,0.0123,2770653.434443725,0
2023-01-30,4.38,0.45257448084589247,2023,2023-01-03,1.65,2232600000,446520000,446520004.38,4.4393895159466155e-9,0.0165,3716729.4624456135,0
2023-01-30,4.38,0.45257448084589247,2023,2023-02-01,1.19,2232600000,446520000,446520004.38,4.4393895159466155e-9,0.011899999999999999,2680550.955586402,0
2023-01-30,4.38,0.45257448084589247,2023,2023-03-01,1.68,2232600000,446520000,446520004.38,4.4393895159466155e-9,0.0168,3784306.321588605,0
2023-02-06,4.19,0.4501476353197605,2023,2023-01-03,1.65,2232600000,446520000,446520004.19,4.224040522912897e-9,0.0165,3906214.747272316,0
2023-02-06,4.19,0.4501476353197605,2023,2023-02-01,1.19,2232600000,446520000,446520004.19,4.224040522912897e-9,0.011899999999999999,2817210.0431157756,0
2023-02-06,4.19,0.4501476353197605,2023,2023-03-01,1.68,2232600000,446520000,446520004.19,4.224040522912897e-9,0.0168,3977236.793195568,0
2023-02-06,4.19,0.4501476353197605,2023,2023-04-03,1.13,2232600000,446520000,446520004.19,4.224040522912897e-9,0.0113,2675165.9512692704,0
2023-02-13,3.86,0.4557360116212564,2023,2023-01-03,1.65,2232600000,446520000,446520003.86,3.939668972612486e-9,0.0165,4188171.3309755805,0
2023-02-13,3.86,0.4557360116212564,2023,2023-02-01,1.19,2232600000,446520000,446520003.86,3.939668972612486e-9,0.011899999999999999,3020560.541343772,0
2023-02-13,3.86,0.4557360116212564,2023,2023-03-01,1.68,2232600000,446520000,446520003.86,3.939668972612486e-9,0.0168,4264319.860734176,0
2023-02-13,3.86,0.4557360116212564,2023,2023-04-03,1.13,2232600000,446520000,446520003.86,3.939668972612486e-9,0.0113,2868263.4818265797,0
2023-02-20,3.62,0.45718614223566384,2023,2023-01-03,1.65,2232600000,446520000,446520003.62,3.7064718746655805e-9,0.0165,4451674.979626903,0
2023-02-20,3.62,0.45718614223566384,2023,2023-02-01,1.19,2232600000,446520000,446520003.62,3.7064718746655805e-9,0.011899999999999999,3210602.5647943905,0
2023-02-20,3.62,0.45718614223566384,2023,2023-03-01,1.68,2232600000,446520000,446520003.62,3.7064718746655805e-9,0.0168,4532614.4849420665,0
2023-02-20,3.62,0.45718614223566384,2023,2023-04-03,1.13,2232600000,446520000,446520003.62,3.7064718746655805e-9,0.0113,3048723.5541640627,0
2023-02-27,3.75,0.45924160140940984,2023,2023-01-03,1.65,2232600000,446520000,446520003.75,3.856839538704064e-9,0.0165,4278116.378112063,0
2023-02-27,3.75,0.45924160140940984,2023,2023-02-01,1.19,2232600000,446520000,446520003.75,3.856839538704064e-9,0.011899999999999999,3085429.9949119864,0
2023-02-27,3.75,0.45924160140940984,2023,2023-03-01,1.68,2232600000,446520000,446520003.75,3.856839538704064e-9,0.0168,4355900.272668589,0
2023-02-27,3.75,0.45924160140940984,2023,2023-04-03,1.13,2232600000,446520000,446520003.75,3.856839538704064e-9,0.0113,2929862.2057989333,0
2023-03-06,3.5,0.4619565704248349,2023,2023-02-01,1.19,2232600000,446520000,446520003.5,3.620997903371472e-9,0.011899999999999999,3286389.0441125617,0
2023-03-06,3.5,0.4619565704248349,2023,2023-03-01,1.68,2232600000,446520000,446520003.5,3.620997903371472e-9,0.0168,4639607.170927179,0
2023-03-06,3.5,0.4619565704248349,2023,2023-04-03,1.13,2232600000,446520000,446520003.5,3.620997903371472e-9,0.0113,3120688.865318935,0
2023-03-06,3.5,0.4619565704248349,2023,2023-05-01,1.4,2232600000,446520000,446520003.5,3.620997903371472e-9,0.013999999999999999,3866339.6698902547,0
2023-03-13,4.13,0.4938724054109465,2023,2023-02-01,1.19,2232600000,446520000,446520004.13,4.5679768330230775e-9,0.011899999999999999,2605094.0458536237,0
2023-03-13,4.13,0.4938724054109465,2023,2023-03-01,1.68,2232600000,446520000,446520004.13,4.5679768330230775e-9,0.0168,3677778.9956932645,0
2023-03-13,4.13,0.4938724054109465,2023,2023-04-03,1.13,2232600000,446520000,446520004.13,4.5679768330230775e-9,0.0113,2473744.8683222393,0
